ID_PERSONA	TBENE	BASE	PERIODO_BASE	LEY_APLICADA	MONTO	DESC_BENE
5416224	1	111	202304	TI	78963.67	LEY GENERAL CANCELACION MORATORIAS 24476 CON ACTUALIZACION
5416732	1	111	202304	TI	56905.47	LEY GENERAL CANCELACION MORATORIAS 24476 CON ACTUALIZACION
5417086	1	111	202304	RI	56479.58	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5422314	2	111	202304	TM	15000	TRANSFORMACION LEY 25.994 Y MORATORIA
5425087	1	111	202304	TE	15000	LEY 26970 - PLAN CANCELADO
5432757	1	111	202304	TI	55575.8	LEY GENERAL CANCELACION MORATORIAS 24476 CON ACTUALIZACION
5439714	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5442180	1	111	202304	RI	56439.04	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5448710	1	111	202304	TE	15000	LEY 26970 - PLAN CANCELADO
5449329	1	111	202304	RE	15000	LEY 26970 - MORATORIA
5449448	1	111	202304	RE	15000	LEY 26970 - MORATORIA
5455759	1	111	202304	TI	53880.61	LEY GENERAL CANCELACION MORATORIAS 24476 CON ACTUALIZACION
5457594	1	111	202304	RI	56331.44	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5459081	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5459639	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5459667	1	111	202304	RI	73093.27	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5467584	1	111	202304	RI	52874.51	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5471194	1	111	202304	TO	45948.88	TRANSFORMACION LEY  24.476
5471451	1	111	202304	TE	15000	LEY 26970 - PLAN CANCELADO
5472654	2	111	202304	PL	15000	PEN.DERIVADA POR WEB DE JUBILACION CON ALTA POSTERIOR A 4/2008
5473051	1	111	202304	TE	62385.34	LEY 26970 - PLAN CANCELADO
5476831	1	111	202304	RI	56206.4	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5477143	2	111	202304	PP	5000	LEY 24241 -PC- PRPA.
5479608	1	111	202304	RI	47845.87	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5481590	1	111	202304	RI	5000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5481661	1	111	202304	PO	15000	LEY 24.476 - MORATORIA
5481725	1	111	202304	PP	15000	LEY 24241 -PC- PRPA.
5487215	1	111	202304	RI	58389.47	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5489719	1	111	202304	RE	15000	LEY 26970 - MORATORIA
5493412	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5494618	1	111	202304	RI	55500.26	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5498576	1	111	202304	PP	57602.39	LEY 24241 -PC- PRPA.
5504373	1	111	202304	TE	15000	LEY 26970 - PLAN CANCELADO
5505487	1	111	202304	TO	61486.72	TRANSFORMACION LEY  24.476
5507540	1	111	202304	TO	15000	TRANSFORMACION LEY  24.476
5507700	1	111	202304	RE	43800.41	LEY 26970 - MORATORIA
5510293	1	111	202304	TI	78963.67	LEY GENERAL CANCELACION MORATORIAS 24476 CON ACTUALIZACION
5510684	1	111	202304	PP	56905.47	LEY 24241 -PC- PRPA.
5515261	1	111	202304	PP	185789.24	LEY 24241 -PC- PRPA.
5516004	2	111	202304	PP	56905.47	LEY 24241 -PC- PRPA.
5516618	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5516652	1	111	202304	RI	55247.11	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5517188	2	111	202304	TE	56905.47	LEY 26970 - PLAN CANCELADO
5524414	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5526666	1	111	202304	TE	51969.66	LEY 26970 - PLAN CANCELADO
5530926	1	111	202304	RI	63852.84	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5531503	2	111	202304	RE	52937.46	LEY 26970 - MORATORIA
5534792	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5537716	1	111	202304	TI	5000	LEY GENERAL CANCELACION MORATORIAS 24476 CON ACTUALIZACION
5542769	1	111	202304	RI	45945.6	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5545755	1	111	202304	RI	72021.72	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5550293	1	111	202304	TE	15000	LEY 26970 - PLAN CANCELADO
5554058	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5561783	1	111	202304	RI	10399.93	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5570809	1	111	202304	PP	103652.39	LEY 24241 -PC- PRPA.
5571232	1	111	202304	TE	15000	LEY 26970 - PLAN CANCELADO
5573230	2	111	202304	TM	45212.25	TRANSFORMACION LEY 25.994 Y MORATORIA
5576553	1	111	202304	RI	69269.49	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5585260	1	111	202304	TI	5000	LEY GENERAL CANCELACION MORATORIAS 24476 CON ACTUALIZACION
5590121	2	111	202304	PP	50297.62	LEY 24241 -PC- PRPA.
5597543	1	111	202304	RI	55930.7	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5600168	1	111	202304	PP	80722.93	LEY 24241 -PC- PRPA.
5607653	1	111	202304	RE	55145.79	LEY 26970 - MORATORIA
5608049	1	111	202304	TI	54981.44	LEY GENERAL CANCELACION MORATORIAS 24476 CON ACTUALIZACION
5608177	1	111	202304	RI	10488.13	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5614142	2	111	202304	PP	169876.25	LEY 24241 -PC- PRPA.
5614388	1	111	202304	RI	56292.89	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5617936	1	111	202304	TI	57193.22	LEY GENERAL CANCELACION MORATORIAS 24476 CON ACTUALIZACION
5619542	1	111	202304	TE	15000	LEY 26970 - PLAN CANCELADO
5620565	1	111	202304	RI	129902.51	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5622305	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5623746	1	111	202304	TE	15000	LEY 26970 - PLAN CANCELADO
5628330	1	111	202304	TE	15000	LEY 26970 - PLAN CANCELADO
5629824	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5633616	1	111	202304	TE	15000	LEY 26970 - PLAN CANCELADO
5642499	1	111	202304	PC	14997.42	LEY 24241
